구분,보통휘발유,자동차용경유
2022년08월29일,1738.53,1840.79
2022년08월30일,1740.46,1845.33
2022년08월31일,1741.71,1847.37
2022년09월01일,1742.51,1850.30
2022년09월02일,1742.01,1850.70
2022년09월03일,1741.46,1850.67
2022년09월04일,1741.41,1850.76
2022년09월05일,1741.49,1851.27
2022년09월06일,1741.42,1851.76
2022년09월07일,1740.99,1852.57
2022년09월08일,1740.61,1853.89
2022년09월09일,1740.42,1854.92
2022년09월10일,1740.44,1855.39
2022년09월11일,1740.46,1855.82
2022년09월12일,1740.15,1856.09
2022년09월13일,1740.54,1857.38
2022년09월14일,1740.38,1858.63
2022년09월15일,1740.34,1860.41
2022년09월16일,1739.33,1860.74
2022년09월17일,1737.72,1859.89
2022년09월18일,1736.95,1859.21
2022년09월19일,1735.73,1858.61
2022년09월20일,1731.92,1855.12
2022년09월21일,1728.37,1852.35
2022년09월22일,1724.95,1849.76
2022년09월23일,1721.16,1847.31
2022년09월24일,1717.19,1844.45
2022년09월25일,1715.25,1843.21
2022년09월26일,1711.53,1841.00
2022년09월27일,1705.43,1836.98
2022년09월28일,1698.78,1832.33
2022년09월29일,1693.28,1828.79
2022년09월30일,1688.30,1826.08
2022년10월01일,1682.04,1822.01
2022년10월02일,1679.84,1820.55
2022년10월03일,1677.55,1820.83
2022년10월04일,1674.38,1817.56
2022년10월05일,1670.62,1815.63
2022년10월06일,1667.41,1814.62
2022년10월07일,1665.76,1814.91
2022년10월08일,1665.86,1818.57
2022년10월09일,1666.13,1819.99
2022년10월10일,1666.45,1821.74
2022년10월11일,1666.75,1824.45
2022년10월12일,1666.94,1828.00
2022년10월13일,1666.38,1829.54
2022년10월14일,1666.05,1831.43
2022년10월15일,1665.73,1833.69
2022년10월16일,1665.72,1834.59
2022년10월17일,1665.72,1836.93
2022년10월18일,1665.76,1840.19
2022년10월19일,1665.55,1842.90
2022년10월20일,1665.21,1845.50
2022년10월21일,1664.67,1848.77
2022년10월22일,1664.21,1851.64
2022년10월23일,1664.02,1852.77
2022년10월24일,1664.11,1855.46
2022년10월25일,1663.71,1857.96
2022년10월26일,1663.17,1860.07
2022년10월27일,1662.31,1862.40
2022년10월28일,1661.71,1864.82
2022년10월29일,1661.04,1866.42
2022년10월30일,1660.71,1867.15
2022년10월31일,1660.70,1869.29
2022년11월01일,1659.88,1872.05
2022년11월02일,1659.38,1874.01
2022년11월03일,1658.83,1875.90
2022년11월04일,1658.32,1877.64
2022년11월05일,1658.37,1879.39
2022년11월06일,1658.55,1880.35
2022년11월07일,1659.06,1882.50
2022년11월08일,1659.71,1884.76
2022년11월09일,1660.32,1886.64
2022년11월10일,1660.34,1888.00
2022년11월11일,1660.10,1888.77
2022년11월12일,1659.78,1888.93
2022년11월13일,1659.71,1888.94
2022년11월14일,1659.64,1889.59
2022년11월15일,1659.03,1889.11
2022년11월16일,1658.13,1888.55
2022년11월17일,1656.78,1887.80
2022년11월18일,1654.03,1885.62
2022년11월19일,1651.56,1883.82
2022년11월20일,1650.45,1882.96
2022년11월21일,1648.35,1881.58
2022년11월22일,1644.75,1878.67
2022년11월23일,1641.01,1875.66
2022년11월24일,1637.77,1872.86
2022년11월25일,1634.66,1870.27
2022년11월26일,1632.12,1867.75
2022년11월27일,1630.83,1866.63
2022년11월28일,1628.36,1864.46
2022년11월29일,1625.83,1861.70
2022년11월30일,1623.90,1859.63
2022년12월01일,1622.12,1857.47
2022년12월02일,1620.84,1855.96
2022년12월03일,1619.61,1854.52
2022년12월04일,1618.48,1853.31
2022년12월05일,1615.99,1850.98
2022년12월06일,1612.26,1847.19
2022년12월07일,1607.58,1842.17
2022년12월08일,1601.20,1835.07
2022년12월09일,1593.80,1827.11
2022년12월10일,1586.79,1818.45
2022년12월11일,1583.59,1814.71
2022년12월12일,1576.99,1807.38
2022년12월13일,1567.85,1796.67
2022년12월14일,1561.08,1787.99
2022년12월15일,1554.87,1779.25
2022년12월16일,1549.40,1771.37
2022년12월17일,1545.18,1764.37
2022년12월18일,1543.39,1761.56
2022년12월19일,1540.27,1756.43
2022년12월20일,1536.77,1751.89
2022년12월21일,1534.17,1745.51
2022년12월22일,1531.87,1741.37
2022년12월23일,1530.29,1738.09
2022년12월24일,1529.34,1735.31
2022년12월25일,1528.58,1733.82
2022년12월26일,1527.32,1731.44
2022년12월27일,1526.31,1728.14
2022년12월28일,1526.05,1725.84
2022년12월29일,1526.34,1724.28
2022년12월30일,1527.57,1722.77
2022년12월31일,1530.70,1721.76
2023년01월01일,1541.67,1720.97
2023년01월02일,1550.17,1720.21
2023년01월03일,1555.82,1719.06
2023년01월04일,1558.81,1717.13
2023년01월05일,1561.29,1713.57
2023년01월06일,1561.45,1710.43
